name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
South Maple Avenue,128,5591429,4602,37,,67.33722260145771,1,29,,residential,6,"LINESTRING (-111.9412432 33.4213251, -111.9412608 33.4219305)",walk,1
South Maple Avenue,129,5591429,4602,4649,,4.138491423240422,1,29,,residential,6,"LINESTRING (-111.9412432 33.4213251, -111.9412418 33.4212879)",walk,1
South Maple Avenue,130,5591429,4649,4602,,4.138491423240422,1,29,,residential,6,"LINESTRING (-111.9412418 33.4212879, -111.9412432 33.4213251)",walk,1
South Maple Avenue,131,5591429,4649,478,,6.483966194099007,1,29,,residential,6,"LINESTRING (-111.9412418 33.4212879, -111.9412404 33.4212296)",walk,1
South Maple Avenue,132,5591429,478,4649,,6.483966194099007,1,29,,residential,6,"LINESTRING (-111.9412404 33.4212296, -111.9412418 33.4212879)",walk,1
South Maple Avenue,133,5591429,478,4475,,3.3139337212009785,1,29,,residential,6,"LINESTRING (-111.9412404 33.4212296, -111.9412399 33.4211998)",walk,1
South Maple Avenue,134,5591429,4475,478,,3.3139337212009785,1,29,,residential,6,"LINESTRING (-111.9412399 33.4211998, -111.9412404 33.4212296)",walk,1
South Maple Avenue,135,5591429,4475,4474,,75.34019393967388,1,29,,residential,6,"LINESTRING (-111.9412399 33.4211998, -111.9412309 33.4205714, -111.94123 33.4205223)",walk,1
South Maple Avenue,136,5591429,4474,4475,,75.34019393967388,1,29,,residential,6,"LINESTRING (-111.94123 33.4205223, -111.9412309 33.4205714, -111.9412399 33.4211998)",walk,1
West Brown Street,137,5592666,42,43,,140.78820984111806,1,29,,residential,6,"LINESTRING (-111.945773 33.4262792, -111.94729 33.4262913)",walk,1
West Brown Street,138,5592666,43,42,,140.78820984111806,1,29,,residential,6,"LINESTRING (-111.94729 33.4262913, -111.945773 33.4262792)",walk,1
West Brown Street,139,5592684,44,399,,153.21796605274017,1,29,,residential,6,"LINESTRING (-111.9484199 33.4262644, -111.9500709 33.4262682)",walk,1
West Brown Street,140,5592684,399,44,,153.21796605274017,1,29,,residential,6,"LINESTRING (-111.9500709 33.4262682, -111.9484199 33.4262644)",walk,1
West Brown Street,141,5592684,399,45,,20.837480421098437,1,29,,residential,6,"LINESTRING (-111.9500709 33.4262682, -111.9502953 33.4262747)",walk,1
West Brown Street,142,5592684,45,399,,20.837480421098437,1,29,,residential,6,"LINESTRING (-111.9502953 33.4262747, -111.9500709 33.4262682)",walk,1
West Brown Street,143,5592684,45,46,,183.22124360469942,1,29,,residential,6,"LINESTRING (-111.9502953 33.4262747, -111.9522696 33.4262794)",walk,1
West Brown Street,144,5592684,46,45,,183.22124360469942,1,29,,residential,6,"LINESTRING (-111.9522696 33.4262794, -111.9502953 33.4262747)",walk,1
South Ash Avenue,145,5594960,47,48,,124.89446828269861,1,29,,residential,6,"LINESTRING (-111.94234 33.4136148, -111.942349 33.4142597, -111.9423597 33.4144744, -111.9423738 33.4146487, -111.9423885 33.4146873, -111.9424188 33.4147283)",walk,1
South Ash Avenue,146,5594960,48,47,,124.89446828269861,1,29,,residential,6,"LINESTRING (-111.9424188 33.4147283, -111.9423885 33.4146873, -111.9423738 33.4146487, -111.9423597 33.4144744, -111.942349 33.4142597, -111.94234 33.4136148)",walk,1
South Ash Avenue,147,5594960,48,4367,,118.22565647828802,1,29,,residential,6,"LINESTRING (-111.9424188 33.4147283, -111.9424388 33.4147724, -111.9424462 33.414825, -111.9424521 33.4157344, -111.9424522 33.4157881)",walk,1
South Ash Avenue,148,5594960,4367,48,,118.22565647828802,1,29,,residential,6,"LINESTRING (-111.9424522 33.4157881, -111.9424521 33.4157344, -111.9424462 33.414825, -111.9424388 33.4147724, -111.9424188 33.4147283)",walk,1
South Ash Avenue,149,5594960,4367,4365,,21.127054410995168,1,29,,residential,6,"LINESTRING (-111.9424522 33.4157881, -111.9424525 33.4159781)",walk,1
South Ash Avenue,150,5594960,4365,4367,,21.127054410995168,1,29,,residential,6,"LINESTRING (-111.9424525 33.4159781, -111.9424522 33.4157881)",walk,1
